filename,p/bar,Di,Df,Density,AVA,ASA,NAVA,NASA,UC_volume,Gamma_cage_window,DeltaD_cage_window,Eta_wall,Phi_accessible,hoa/kcal/mol,mmol/g,S(g1)
DB1-Uio66Zr-irmof10_A-irmof14_A_No527,0.15,10.06126,6.00548,1.04853,805.804,850.978,0.0,0.0,4791.32,1.6753465168479456,4.05578,1.0560607790480068,0.1681799587587554,6.323494,1.991988,77.593075
DB1-Uio66Zr-BDC_A-NiC4_No10,0.015,7.33159,0.84396,2.02032,0.0,0.0,157.136,282.894,4471.7,8.687129721787763,6.48763,,0.0,11.005198,1.997208,483.66589
DB1-Uio66Zr-BDC_A-NiC4_No10,0.15,7.33159,0.84396,2.02032,0.0,0.0,157.136,282.894,4471.7,8.687129721787763,6.48763,,0.0,11.275731,2.805479,316.437195
DB1-Uio66Zr-BDC_A-irmof6_A_No122,0.015,7.31796,2.25159,1.37569,0.0,0.0,84.7832,170.124,2235.84,3.2501299081982062,5.06637,,0.0,8.680321,1.332161,292.711975
DB1-Uio66Zr-BDC_A-irmof6_A_No122,0.15,7.31796,2.25159,1.37569,0.0,0.0,84.7832,170.124,2235.84,3.2501299081982062,5.06637,,0.0,11.016325,3.593796,258.95624
DB1-Uio66Zr-irmof10_A-irmof14_A_No442,0.015,10.06126,6.33591,0.92276,829.856,887.737,0.0,0.0,4791.32,1.5879739453369761,3.7253500000000006,1.0697482454787337,0.1731998697644908,6.533105,0.238341,10.105235
DB1-Uio66Zr-irmof10_A-irmof14_A_No442,0.15,10.06126,6.33591,0.92276,829.856,887.737,0.0,0.0,4791.32,1.5879739453369761,3.7253500000000006,1.0697482454787337,0.1731998697644908,6.424056,2.171242,68.04697
DB1-Uio66Zr-BDC_A-irmof7_A_No116,0.015,6.62543,2.70752,1.40101,0.0,0.0,82.4132,183.139,2235.84,2.447047482567072,3.9179099999999996,,0.0,8.032077,0.977996,252.609905
DB1-Uio66Zr-BDC_A-irmof7_A_No116,0.15,6.62543,2.70752,1.40101,0.0,0.0,82.4132,183.139,2235.84,2.447047482567072,3.9179099999999996,,0.0,8.55334,2.926378,194.254875
DB1-Uio66Zr-BDC_A-irmof6_A_No344,0.015,7.31796,3.19662,1.37716,0.0,0.0,91.0882,185.693,2235.84,2.2892805525836666,4.12134,,0.0,7.576869,0.668628,169.538755
DB1-Uio66Zr-BDC_A-irmof6_A_No344,0.15,7.31796,3.19662,1.37716,0.0,0.0,91.0882,185.693,2235.84,2.2892805525836666,4.12134,,0.0,9.226624,2.983642,213.28134
DB1-Uio66Zr-BDC_A-irmof6_A_No139,0.015,7.31796,2.25297,1.38316,0.0,0.0,94.9786,183.602,2235.84,3.248139123024275,5.06499,,0.0,7.546205,0.78012,188.566525
DB1-Uio66Zr-BDC_A-irmof6_A_No139,0.15,7.31796,2.25297,1.38316,0.0,0.0,94.9786,183.602,2235.84,3.248139123024275,5.06499,,0.0,8.460161,2.890099,192.93411
DB1-Uio66Zr-irmof20_A_No13,0.015,8.33703,1.87439,1.2071,0.0,0.0,205.78,275.768,3163.9,4.447863038108398,6.46264,,0.0,8.38609,1.503176,296.206545
DB1-Uio66Zr-irmof20_A_No13,0.15,8.33703,1.87439,1.2071,0.0,0.0,205.78,275.768,3163.9,4.447863038108398,6.46264,,0.0,8.830723,4.668046,225.51498
DB1-Uio66Zr-irmof7_A-PEDOT_A_No1,0.015,7.37939,3.80499,1.47305,94.6457,171.947,0.0865926,0.716675,2164.81,1.9393980010459948,3.5744,1.8167439196920725,0.04372009552801401,7.92555,0.740472,188.202385
DB1-Uio66Zr-irmof7_A-PEDOT_A_No1,0.15,7.37939,3.80499,1.47305,94.6457,171.947,0.0865926,0.716675,2164.81,1.9393980010459948,3.5744,1.8167439196920725,0.04372009552801401,8.462468,2.932977,204.715625
DB1-Uio66Zr-BDC_A-irmof6_A_No427,0.015,7.31796,3.25594,1.55146,0.0,0.0,96.5884,185.824,2235.84,2.24757212970755,4.06202,,0.0,9.059325,1.357822,365.55154
DB1-Uio66Zr-BDC_A-irmof6_A_No427,0.15,7.31796,3.25594,1.55146,0.0,0.0,96.5884,185.824,2235.84,2.24757212970755,4.06202,,0.0,8.898789,3.715774,311.34614
DB1-Uio66Zr-BDC_A-irmof6_A_No155,0.015,7.31796,3.26046,1.4343,0.0,0.0,104.235,212.861,2235.84,2.244456303711746,4.0575,,0.0,6.915677,0.344697,90.463885
DB1-Uio66Zr-BDC_A-irmof6_A_No155,0.15,7.31796,3.26046,1.4343,0.0,0.0,104.235,212.861,2235.84,2.244456303711746,4.0575,,0.0,7.190683,2.001488,130.18589
